entry_time,exit_time,type,regime,strategy,entry_price,exit_price,size,pnl,close_reason,account_balance
2009-05-05 07:30:00,2009-05-05 12:30:00,SHORT,VOLATILE,Cautious Mean Reversion,912.68,903.43,0.09235063149493802,0.8542433413281767,Target Hit,1006.0210206192085
2009-05-05 14:30:00,2009-05-05 20:00:00,SHORT,TRENDING,Momentum Breakout,898.03,898.08,0.06407595409816526,-0.0032037977049126335,Regime Change,1006.0178168215035
2009-05-06 00:00:00,2009-05-06 01:00:00,SHORT,VOLATILE,Cautious Mean Reversion,900.98,903.43,0.165304635189199,-0.40499635621352625,Stop Loss,1005.61282046529
2009-05-06 01:00:00,2009-05-06 07:30:00,SHORT,VOLATILE,Cautious Mean Reversion,903.43,906.68,0.15796632706275565,-0.5133905629539559,Stop Loss,1005.099429902336
2009-05-06 08:30:00,2009-05-06 09:30:00,SHORT,VOLATILE,Cautious Mean Reversion,906.95,911.3,0.08191219214856739,-0.3563180358462607,Stop Loss,1004.7431118664898
2009-05-07 02:00:00,2009-05-07 05:30:00,SHORT,VOLATILE,Cautious Mean Reversion,913.95,915.98,0.19513534552720582,-0.3961247514202225,Stop Loss,1004.3469871150696
2009-05-07 05:30:00,2009-05-07 07:00:00,SHORT,VOLATILE,Cautious Mean Reversion,915.98,918.58,0.12925307831208788,-0.3360580036114314,Stop Loss,1004.0109291114582
2009-05-07 07:00:00,2009-05-07 10:00:00,LONG,TRENDING,Momentum Breakout,918.58,911.6,0.09848733651585598,-0.6874416088806765,Stop Loss,1003.3234875025774
2009-05-07 15:00:00,2009-05-08 02:30:00,LONG,VOLATILE,Cautious Mean Reversion,911.0,915.65,0.05355542000933803,0.24903270304342062,Target Hit,1003.5725202056209
2009-05-08 02:30:00,2009-05-08 08:00:00,SHORT,VOLATILE,Cautious Mean Reversion,915.65,917.45,0.2070370334905717,-0.3726666602830432,Stop Loss,1003.1998535453379
2009-05-08 08:00:00,2009-05-08 08:30:00,SHORT,VOLATILE,Cautious Mean Reversion,917.45,914.1,0.1271110968464218,0.4258221744355159,Target Hit,1003.6256757197734
2009-05-08 10:00:00,2009-05-08 13:00:00,SHORT,TRENDING,Momentum Breakout,908.43,915.2,0.07495721763262658,-0.5074603633728891,Stop Loss,1003.1182153564006
2009-05-10 19:30:00,2009-05-10 21:30:00,SHORT,VOLATILE,Cautious Mean Reversion,918.18,913.83,0.10326823532444002,0.44921682366130467,Target Hit,1003.5674321800619
2009-05-11 07:00:00,2009-05-12 00:00:00,LONG,VOLATILE,Cautious Mean Reversion,910.98,913.28,0.1387635680414999,0.31915620649544346,Regime Change,1003.8865883865574
2009-05-12 03:30:00,2009-05-12 04:00:00,SHORT,VOLATILE,Cautious Mean Reversion,916.15,918.53,0.16511442886933467,-0.39297234070901577,Stop Loss,1003.4936160458484
2009-05-12 04:00:00,2009-05-12 07:30:00,SHORT,VOLATILE,Cautious Mean Reversion,918.53,922.25,0.1564057974557057,-0.5818295665352295,Stop Loss,1002.9117864793132
2009-05-12 07:30:00,2009-05-12 09:30:00,LONG,TRENDING,Momentum Breakout,922.25,917.45,0.11232161046725131,-0.5391437302428012,Stop Loss,1002.3726427490703
2009-05-12 19:00:00,2009-05-13 07:30:00,SHORT,VOLATILE,Cautious Mean Reversion,927.18,921.3,0.12206587850123692,0.7177473655872725,Target Hit,1003.0903901146576
2009-05-13 07:30:00,2009-05-13 10:00:00,LONG,VOLATILE,Cautious Mean Reversion,921.3,927.08,0.10000604679418644,0.5780349504704063,Target Hit,1003.668425065128
2009-05-14 01:00:00,2009-05-14 08:00:00,LONG,VOLATILE,Cautious Mean Reversion,924.43,922.18,0.14611160059366796,-0.3287511013357529,Stop Loss,1003.3396739637922
